county,year,month,t,G,treated
Roscommon,2017,5,24209,24223,0
Roscommon,2017,6,24210,24223,0
Roscommon,2017,7,24211,24223,0
Roscommon,2017,8,24212,24223,0
Roscommon,2017,9,24213,24223,0
Roscommon,2017,10,24214,24223,0
Roscommon,2017,11,24215,24223,0
Roscommon,2017,12,24216,24223,0
Roscommon,2018,1,24217,24223,0
Roscommon,2018,2,24218,24223,0
Roscommon,2018,3,24219,24223,0
Roscommon,2018,4,24220,24223,0
Roscommon,2018,5,24221,24223,0
Roscommon,2018,6,24222,24223,0
Roscommon,2018,7,24223,24223,1
Roscommon,2018,8,24224,24223,1
Roscommon,2018,9,24225,24223,1
Roscommon,2018,10,24226,24223,1
Roscommon,2018,11,24227,24223,1
Roscommon,2018,12,24228,24223,1
Roscommon,2019,1,24229,24223,0
Roscommon,2019,2,24230,24223,0
Roscommon,2019,3,24231,24223,0
Roscommon,2019,4,24232,24223,0
Roscommon,2019,5,24233,24223,0
Roscommon,2019,6,24234,24223,0
Roscommon,2019,7,24235,24223,0
Roscommon,2019,8,24236,24223,0
Roscommon,2019,9,24237,24223,0
Roscommon,2019,10,24238,24223,0
Roscommon,2019,11,24239,24223,0
Roscommon,2019,12,24240,24223,0
Roscommon,2020,1,24241,24223,0
Roscommon,2020,2,24242,24223,0
Roscommon,2020,3,24243,24223,0
Roscommon,2020,4,24244,24223,0
Roscommon,2020,5,24245,24223,0
Roscommon,2020,6,24246,24223,0
Roscommon,2020,7,24247,24223,0
Roscommon,2020,8,24248,24223,0
Roscommon,2020,9,24249,24223,0
Roscommon,2020,10,24250,24223,0
Roscommon,2020,11,24251,24223,0
Roscommon,2020,12,24252,24223,0
Roscommon,2021,1,24253,24223,0
Roscommon,2021,2,24254,24223,0
Roscommon,2021,3,24255,24223,0
Roscommon,2021,4,24256,24223,0
Roscommon,2021,5,24257,24223,0
Roscommon,2021,6,24258,24223,0
Roscommon,2021,7,24259,24223,0
Roscommon,2021,8,24260,24223,0
Roscommon,2021,9,24261,24223,0
Roscommon,2021,10,24262,24223,0
Roscommon,2021,11,24263,24223,0
Roscommon,2021,12,24264,24223,0
Roscommon,2022,1,24265,24223,0
Roscommon,2022,2,24266,24223,0
Roscommon,2022,3,24267,24223,0
Roscommon,2022,4,24268,24223,0
Roscommon,2022,5,24269,24223,0
Roscommon,2022,6,24270,24223,0
Roscommon,2022,7,24271,24223,0
Roscommon,2022,8,24272,24223,0
Roscommon,2022,9,24273,24223,0
Roscommon,2023,10,24286,24223,0
Roscommon,2023,11,24287,24223,0
Roscommon,2023,12,24288,24223,0
Roscommon,2024,1,24289,24223,0
Roscommon,2024,2,24290,24223,0
Roscommon,2024,3,24291,24223,0
Roscommon,2024,4,24292,24223,0
Roscommon,2024,5,24293,24223,0
Roscommon,2024,6,24294,24223,0
Roscommon,2024,7,24295,24223,0
Roscommon,2024,8,24296,24223,0
Roscommon,2024,9,24297,24223,0
Saginaw,2016,10,24202,24223,0
Saginaw,2016,11,24203,24223,0
Saginaw,2016,12,24204,24223,0
Saginaw,2017,1,24205,24223,0
Saginaw,2017,2,24206,24223,0
Saginaw,2017,3,24207,24223,0
Saginaw,2017,4,24208,24223,0
Saginaw,2017,5,24209,24223,0
Saginaw,2017,6,24210,24223,0
Saginaw,2017,7,24211,24223,0
Saginaw,2017,8,24212,24223,0
Saginaw,2017,9,24213,24223,0
Saginaw,2017,10,24214,24223,0
Saginaw,2017,11,24215,24223,0
Saginaw,2017,12,24216,24223,0
Saginaw,2018,1,24217,24223,0
Saginaw,2018,2,24218,24223,0
Saginaw,2018,3,24219,24223,0
Saginaw,2018,4,24220,24223,0
Saginaw,2018,5,24221,24223,0
Saginaw,2018,6,24222,24223,0
Saginaw,2018,7,24223,24223,1
Saginaw,2018,8,24224,24223,1
Saginaw,2018,9,24225,24223,1
Saginaw,2018,10,24226,24223,1
Saginaw,2018,11,24227,24223,1
Saginaw,2018,12,24228,24223,1
Saginaw,2019,1,24229,24223,0
Saginaw,2019,2,24230,24223,0
Saginaw,2019,3,24231,24223,0
Saginaw,2019,4,24232,24223,0
Saginaw,2019,5,24233,24223,0
Saginaw,2019,6,24234,24223,0
Saginaw,2019,7,24235,24223,0
Saginaw,2019,8,24236,24223,0
Saginaw,2019,9,24237,24223,0
Saginaw,2019,10,24238,24223,0
Saginaw,2019,11,24239,24223,0
Saginaw,2019,12,24240,24223,0
Saginaw,2020,1,24241,24223,0
Saginaw,2020,2,24242,24223,0
Saginaw,2020,3,24243,24223,0
Saginaw,2020,4,24244,24223,0
Saginaw,2020,5,24245,24223,0
Saginaw,2020,6,24246,24223,0
Saginaw,2020,7,24247,24223,0
Saginaw,2020,8,24248,24223,0
Saginaw,2020,9,24249,24223,0
Saginaw,2020,10,24250,24223,0
Saginaw,2020,11,24251,24223,0
Saginaw,2020,12,24252,24223,0
Saginaw,2021,1,24253,24223,0
Saginaw,2021,2,24254,24223,0
Saginaw,2021,3,24255,24223,0
Saginaw,2021,4,24256,24223,0
Saginaw,2021,5,24257,24223,0
Saginaw,2021,6,24258,24223,0
Saginaw,2021,7,24259,24223,0
Saginaw,2021,8,24260,24223,0
Saginaw,2021,9,24261,24223,0
Saginaw,2021,10,24262,24223,0
Saginaw,2021,11,24263,24223,0
Saginaw,2021,12,24264,24223,0
Saginaw,2022,1,24265,24223,0
Saginaw,2022,2,24266,24223,0
Saginaw,2022,3,24267,24223,0
Saginaw,2022,4,24268,24223,0
Saginaw,2022,5,24269,24223,0
Saginaw,2022,6,24270,24223,0
Saginaw,2022,7,24271,24223,0
Saginaw,2022,8,24272,24223,0
Saginaw,2022,9,24273,24223,0
Saginaw,2023,10,24286,24223,0
Saginaw,2023,11,24287,24223,0
Saginaw,2023,12,24288,24223,0
Saginaw,2024,1,24289,24223,0
Saginaw,2024,2,24290,24223,0
Saginaw,2024,3,24291,24223,0
Saginaw,2024,4,24292,24223,0
Saginaw,2024,5,24293,24223,0
Saginaw,2024,6,24294,24223,0
Saginaw,2024,7,24295,24223,0
Saginaw,2024,8,24296,24223,0
Saginaw,2024,9,24297,24223,0
Sanilac,2016,10,24202,24223,0
Sanilac,2016,11,24203,24223,0
Sanilac,2016,12,24204,24223,0
Sanilac,2017,1,24205,24223,0
Sanilac,2017,2,24206,24223,0
Sanilac,2017,3,24207,24223,0
Sanilac,2017,4,24208,24223,0
Sanilac,2017,5,24209,24223,0
Sanilac,2017,6,24210,24223,0
Sanilac,2017,7,24211,24223,0
Sanilac,2017,8,24212,24223,0
Sanilac,2017,9,24213,24223,0
Sanilac,2017,10,24214,24223,0
Sanilac,2017,11,24215,24223,0
Sanilac,2017,12,24216,24223,0
Sanilac,2018,1,24217,24223,0
Sanilac,2018,2,24218,24223,0
Sanilac,2018,3,24219,24223,0
Sanilac,2018,4,24220,24223,0
Sanilac,2018,5,24221,24223,0
Sanilac,2018,6,24222,24223,0
Sanilac,2018,7,24223,24223,1
Sanilac,2018,8,24224,24223,1
Sanilac,2018,9,24225,24223,1
Sanilac,2018,10,24226,24223,1
Sanilac,2018,11,24227,24223,1
Sanilac,2018,12,24228,24223,1
Sanilac,2019,1,24229,24223,0
Sanilac,2019,2,24230,24223,0
Sanilac,2019,3,24231,24223,0
Sanilac,2019,4,24232,24223,0
Sanilac,2019,5,24233,24223,0
Sanilac,2019,6,24234,24223,0
Sanilac,2019,7,24235,24223,0
Sanilac,2019,8,24236,24223,0
Sanilac,2019,9,24237,24223,0
Sanilac,2019,10,24238,24223,0
Sanilac,2019,11,24239,24223,0
Sanilac,2019,12,24240,24223,0
Sanilac,2020,1,24241,24223,0
Sanilac,2020,2,24242,24223,0
Sanilac,2020,3,24243,24223,0
Sanilac,2020,4,24244,24223,0
Sanilac,2020,5,24245,24223,0
Sanilac,2020,6,24246,24223,0
Sanilac,2020,7,24247,24223,0
Sanilac,2020,8,24248,24223,0
Sanilac,2020,9,24249,24223,0
Sanilac,2020,10,24250,24223,0
Sanilac,2020,11,24251,24223,0
Sanilac,2020,12,24252,24223,0
Sanilac,2021,1,24253,24223,0
Sanilac,2021,2,24254,24223,0
Sanilac,2021,3,24255,24223,0
Sanilac,2021,4,24256,24223,0
Sanilac,2021,5,24257,24223,0
Sanilac,2021,6,24258,24223,0
Sanilac,2021,7,24259,24223,0
Sanilac,2021,8,24260,24223,0
Sanilac,2021,9,24261,24223,0
Sanilac,2021,10,24262,24223,0
Sanilac,2021,11,24263,24223,0
Sanilac,2021,12,24264,24223,0
Sanilac,2022,1,24265,24223,0
Sanilac,2022,2,24266,24223,0
Sanilac,2022,3,24267,24223,0
Sanilac,2022,4,24268,24223,0
Sanilac,2022,5,24269,24223,0
Sanilac,2022,6,24270,24223,0
Sanilac,2022,7,24271,24223,0
Sanilac,2022,8,24272,24223,0
Sanilac,2022,9,24273,24223,0
Sanilac,2023,10,24286,24223,0
Sanilac,2023,11,24287,24223,0
Sanilac,2023,12,24288,24223,0
Sanilac,2024,1,24289,24223,0
Sanilac,2024,2,24290,24223,0
Sanilac,2024,3,24291,24223,0
Sanilac,2024,4,24292,24223,0
Sanilac,2024,5,24293,24223,0
Sanilac,2024,6,24294,24223,0
Sanilac,2024,7,24295,24223,0
Sanilac,2024,8,24296,24223,0
Sanilac,2024,9,24297,24223,0
Schoolcraft,2016,10,24202,24223,0
Schoolcraft,2016,11,24203,24223,0
Schoolcraft,2016,12,24204,24223,0
Schoolcraft,2017,1,24205,24223,0
Schoolcraft,2017,2,24206,24223,0
Schoolcraft,2017,3,24207,24223,0
Schoolcraft,2017,4,24208,24223,0
Schoolcraft,2017,5,24209,24223,0
Schoolcraft,2017,6,24210,24223,0
Schoolcraft,2017,7,24211,24223,0
Schoolcraft,2017,8,24212,24223,0
Schoolcraft,2017,9,24213,24223,0
Schoolcraft,2017,10,24214,24223,0
Schoolcraft,2017,11,24215,24223,0
Schoolcraft,2017,12,24216,24223,0
Schoolcraft,2018,1,24217,24223,0
Schoolcraft,2018,2,24218,24223,0
Schoolcraft,2018,3,24219,24223,0
Schoolcraft,2018,4,24220,24223,0
Schoolcraft,2018,5,24221,24223,0
Schoolcraft,2018,6,24222,24223,0
Schoolcraft,2018,7,24223,24223,1
Schoolcraft,2018,8,24224,24223,1
Schoolcraft,2018,9,24225,24223,1
Schoolcraft,2018,10,24226,24223,1
Schoolcraft,2018,11,24227,24223,1
Schoolcraft,2018,12,24228,24223,1
Schoolcraft,2019,1,24229,24223,0
Schoolcraft,2019,2,24230,24223,0
Schoolcraft,2019,3,24231,24223,0
Schoolcraft,2019,4,24232,24223,0
Schoolcraft,2019,5,24233,24223,0
Schoolcraft,2019,6,24234,24223,0
Schoolcraft,2019,7,24235,24223,0
Schoolcraft,2019,8,24236,24223,0
Schoolcraft,2019,9,24237,24223,0
Schoolcraft,2019,10,24238,24223,0
Schoolcraft,2019,11,24239,24223,0
Schoolcraft,2019,12,24240,24223,0
Schoolcraft,2020,1,24241,24223,0
Schoolcraft,2020,2,24242,24223,0
Schoolcraft,2020,3,24243,24223,0
Schoolcraft,2020,4,24244,24223,0
Schoolcraft,2020,5,24245,24223,0
Schoolcraft,2020,6,24246,24223,0
Schoolcraft,2020,7,24247,24223,0
Schoolcraft,2020,8,24248,24223,0
Schoolcraft,2020,9,24249,24223,0
Schoolcraft,2020,10,24250,24223,0
Schoolcraft,2020,11,24251,24223,0
Schoolcraft,2020,12,24252,24223,0
Schoolcraft,2021,1,24253,24223,0
Schoolcraft,2021,2,24254,24223,0
Schoolcraft,2021,3,24255,24223,0
Schoolcraft,2021,4,24256,24223,0
Schoolcraft,2021,5,24257,24223,0
Schoolcraft,2021,6,24258,24223,0
Schoolcraft,2021,7,24259,24223,0
Schoolcraft,2021,8,24260,24223,0
Schoolcraft,2021,9,24261,24223,0
Schoolcraft,2021,10,24262,24223,0
Schoolcraft,2021,11,24263,24223,0
Schoolcraft,2021,12,24264,24223,0
Schoolcraft,2022,1,24265,24223,0
Schoolcraft,2022,2,24266,24223,0
Schoolcraft,2022,3,24267,24223,0
Schoolcraft,2022,4,24268,24223,0
Schoolcraft,2022,5,24269,24223,0
Schoolcraft,2022,6,24270,24223,0
Schoolcraft,2022,7,24271,24223,0
Schoolcraft,2022,8,24272,24223,0
Schoolcraft,2022,9,24273,24223,0
Schoolcraft,2023,10,24286,24223,0
Schoolcraft,2023,11,24287,24223,0
Schoolcraft,2023,12,24288,24223,0
Schoolcraft,2024,1,24289,24223,0
Schoolcraft,2024,2,24290,24223,0
Schoolcraft,2024,3,24291,24223,0
Schoolcraft,2024,4,24292,24223,0
Schoolcraft,2024,5,24293,24223,0
Schoolcraft,2024,6,24294,24223,0
Schoolcraft,2024,7,24295,24223,0
Schoolcraft,2024,8,24296,24223,0
Schoolcraft,2024,9,24297,24223,0
Shiawassee,2016,10,24202,24223,0
Shiawassee,2016,11,24203,24223,0
Shiawassee,2016,12,24204,24223,0
Shiawassee,2017,1,24205,24223,0
Shiawassee,2017,2,24206,24223,0
Shiawassee,2017,3,24207,24223,0
Shiawassee,2017,4,24208,24223,0
Shiawassee,2017,5,24209,24223,0
Shiawassee,2017,6,24210,24223,0
Shiawassee,2017,7,24211,24223,0
Shiawassee,2017,8,24212,24223,0
Shiawassee,2017,9,24213,24223,0
Shiawassee,2017,10,24214,24223,0
Shiawassee,2017,11,24215,24223,0
Shiawassee,2017,12,24216,24223,0
Shiawassee,2018,1,24217,24223,0
Shiawassee,2018,2,24218,24223,0
Shiawassee,2018,3,24219,24223,0
Shiawassee,2018,4,24220,24223,0
Shiawassee,2018,5,24221,24223,0
Shiawassee,2018,6,24222,24223,0
Shiawassee,2018,7,24223,24223,1
Shiawassee,2018,8,24224,24223,1
Shiawassee,2018,9,24225,24223,1
Shiawassee,2018,10,24226,24223,1
Shiawassee,2018,11,24227,24223,1
Shiawassee,2018,12,24228,24223,1
Shiawassee,2019,1,24229,24223,0
Shiawassee,2019,2,24230,24223,0
Shiawassee,2019,3,24231,24223,0
Shiawassee,2019,4,24232,24223,0
Shiawassee,2019,5,24233,24223,0
Shiawassee,2019,6,24234,24223,0
Shiawassee,2019,7,24235,24223,0
Shiawassee,2019,8,24236,24223,0
Shiawassee,2019,9,24237,24223,0
Shiawassee,2019,10,24238,24223,0
Shiawassee,2019,11,24239,24223,0
Shiawassee,2019,12,24240,24223,0
Shiawassee,2020,1,24241,24223,0
Shiawassee,2020,2,24242,24223,0
Shiawassee,2020,3,24243,24223,0
Shiawassee,2020,4,24244,24223,0
Shiawassee,2020,5,24245,24223,0
Shiawassee,2020,6,24246,24223,0
Shiawassee,2020,7,24247,24223,0
Shiawassee,2020,8,24248,24223,0
Shiawassee,2020,9,24249,24223,0
Shiawassee,2020,10,24250,24223,0
Shiawassee,2020,11,24251,24223,0
Shiawassee,2020,12,24252,24223,0
Shiawassee,2021,1,24253,24223,0
Shiawassee,2021,2,24254,24223,0
Shiawassee,2021,3,24255,24223,0
Shiawassee,2021,4,24256,24223,0
Shiawassee,2021,5,24257,24223,0
Shiawassee,2021,6,24258,24223,0
Shiawassee,2021,7,24259,24223,0
Shiawassee,2021,8,24260,24223,0
Shiawassee,2021,9,24261,24223,0
Shiawassee,2021,10,24262,24223,0
Shiawassee,2021,11,24263,24223,0
Shiawassee,2021,12,24264,24223,0
Shiawassee,2022,1,24265,24223,0
Shiawassee,2022,2,24266,24223,0
Shiawassee,2022,3,24267,24223,0
Shiawassee,2022,4,24268,24223,0
Shiawassee,2022,5,24269,24223,0
Shiawassee,2022,6,24270,24223,0
Shiawassee,2022,7,24271,24223,0
Shiawassee,2022,8,24272,24223,0
Shiawassee,2022,9,24273,24223,0
Shiawassee,2023,10,24286,24223,0
Shiawassee,2023,11,24287,24223,0
Shiawassee,2023,12,24288,24223,0
Shiawassee,2024,1,24289,24223,0
Shiawassee,2024,2,24290,24223,0
Shiawassee,2024,3,24291,24223,0
Shiawassee,2024,4,24292,24223,0
Shiawassee,2024,5,24293,24223,0
Shiawassee,2024,6,24294,24223,0
Shiawassee,2024,7,24295,24223,0
Shiawassee,2024,8,24296,24223,0
Shiawassee,2024,9,24297,24223,0
St. Clair,2016,10,24202,24223,0
St. Clair,2016,11,24203,24223,0
St. Clair,2016,12,24204,24223,0
St. Clair,2017,1,24205,24223,0
St. Clair,2017,2,24206,24223,0
St. Clair,2017,3,24207,24223,0
St. Clair,2017,4,24208,24223,0
St. Clair,2017,5,24209,24223,0
St. Clair,2017,6,24210,24223,0
St. Clair,2017,7,24211,24223,0
St. Clair,2017,8,24212,24223,0
St. Clair,2017,9,24213,24223,0
St. Clair,2017,10,24214,24223,0
St. Clair,2017,11,24215,24223,0
St. Clair,2017,12,24216,24223,0
St. Clair,2018,1,24217,24223,0
St. Clair,2018,2,24218,24223,0
St. Clair,2018,3,24219,24223,0
St. Clair,2018,4,24220,24223,0
St. Clair,2018,5,24221,24223,0
St. Clair,2018,6,24222,24223,0
St. Clair,2018,7,24223,24223,1
St. Clair,2018,8,24224,24223,1
St. Clair,2018,9,24225,24223,1
St. Clair,2018,10,24226,24223,1
St. Clair,2018,11,24227,24223,1
St. Clair,2018,12,24228,24223,1
St. Clair,2019,1,24229,24223,0
St. Clair,2019,2,24230,24223,0
St. Clair,2019,3,24231,24223,0
St. Clair,2019,4,24232,24223,0
St. Clair,2019,5,24233,24223,0
St. Clair,2019,6,24234,24223,0
St. Clair,2019,7,24235,24223,0
St. Clair,2019,8,24236,24223,0
St. Clair,2019,9,24237,24223,0
St. Clair,2019,10,24238,24223,0
St. Clair,2019,11,24239,24223,0
St. Clair,2019,12,24240,24223,0
St. Clair,2020,1,24241,24223,0
St. Clair,2020,2,24242,24223,0
St. Clair,2020,3,24243,24223,0
St. Clair,2020,4,24244,24223,0
St. Clair,2020,5,24245,24223,0
St. Clair,2020,6,24246,24223,0
St. Clair,2020,7,24247,24223,0
St. Clair,2020,8,24248,24223,0
St. Clair,2020,9,24249,24223,0
St. Clair,2020,10,24250,24223,0
St. Clair,2020,11,24251,24223,0
St. Clair,2020,12,24252,24223,0
St. Clair,2021,1,24253,24223,0
St. Clair,2021,2,24254,24223,0
St. Clair,2021,3,24255,24223,0
St. Clair,2021,4,24256,24223,0
St. Clair,2021,5,24257,24223,0
St. Clair,2021,6,24258,24223,0
St. Clair,2021,7,24259,24223,0
St. Clair,2021,8,24260,24223,0
St. Clair,2021,9,24261,24223,0
St. Clair,2021,10,24262,24223,0
St. Clair,2021,11,24263,24223,0
St. Clair,2021,12,24264,24223,0
St. Clair,2022,1,24265,24223,0
St. Clair,2022,2,24266,24223,0
St. Clair,2022,3,24267,24223,0
St. Clair,2022,4,24268,24223,0
St. Clair,2022,5,24269,24223,0
St. Clair,2022,6,24270,24223,0
St. Clair,2022,7,24271,24223,0
St. Clair,2022,8,24272,24223,0
St. Clair,2022,9,24273,24223,0
St. Clair,2023,10,24286,24223,0
St. Clair,2023,11,24287,24223,0
St. Clair,2023,12,24288,24223,0
St. Clair,2024,1,24289,24223,0
St. Clair,2024,2,24290,24223,0
St. Clair,2024,3,24291,24223,0
St. Clair,2024,4,24292,24223,0
St. Clair,2024,5,24293,24223,0
St. Clair,2024,6,24294,24223,0
St. Clair,2024,7,24295,24223,0
St. Clair,2024,8,24296,24223,0
St. Clair,2024,9,24297,24223,0
St. Joseph,2016,10,24202,24223,0
St. Joseph,2016,11,24203,24223,0
St. Joseph,2016,12,24204,24223,0
St. Joseph,2017,1,24205,24223,0
St. Joseph,2017,2,24206,24223,0
St. Joseph,2017,3,24207,24223,0
St. Joseph,2017,4,24208,24223,0
St. Joseph,2017,5,24209,24223,0
St. Joseph,2017,6,24210,24223,0
St. Joseph,2017,7,24211,24223,0
St. Joseph,2017,8,24212,24223,0
St. Joseph,2017,9,24213,24223,0
St. Joseph,2017,10,24214,24223,0
St. Joseph,2017,11,24215,24223,0
St. Joseph,2017,12,24216,24223,0
St. Joseph,2018,1,24217,24223,0
St. Joseph,2018,2,24218,24223,0
St. Joseph,2018,3,24219,24223,0
St. Joseph,2018,4,24220,24223,0
St. Joseph,2018,5,24221,24223,0
St. Joseph,2018,6,24222,24223,0
St. Joseph,2018,7,24223,24223,1
St. Joseph,2018,8,24224,24223,1
St. Joseph,2018,9,24225,24223,1
St. Joseph,2018,10,24226,24223,1
St. Joseph,2018,11,24227,24223,1
St. Joseph,2018,12,24228,24223,1
St. Joseph,2019,1,24229,24223,0
St. Joseph,2019,2,24230,24223,0
St. Joseph,2019,3,24231,24223,0
St. Joseph,2019,4,24232,24223,0
St. Joseph,2019,5,24233,24223,0
St. Joseph,2019,6,24234,24223,0
St. Joseph,2019,7,24235,24223,0
St. Joseph,2019,8,24236,24223,0
St. Joseph,2019,9,24237,24223,0
St. Joseph,2019,10,24238,24223,0
St. Joseph,2019,11,24239,24223,0
St. Joseph,2019,12,24240,24223,0
St. Joseph,2020,1,24241,24223,0
St. Joseph,2020,2,24242,24223,0
St. Joseph,2020,3,24243,24223,0
St. Joseph,2020,4,24244,24223,0
St. Joseph,2020,5,24245,24223,0
St. Joseph,2020,6,24246,24223,0
St. Joseph,2020,7,24247,24223,0
St. Joseph,2020,8,24248,24223,0
St. Joseph,2020,9,24249,24223,0
St. Joseph,2020,10,24250,24223,0
St. Joseph,2020,11,24251,24223,0
St. Joseph,2020,12,24252,24223,0
St. Joseph,2021,1,24253,24223,0
St. Joseph,2021,2,24254,24223,0
St. Joseph,2021,3,24255,24223,0
St. Joseph,2021,4,24256,24223,0
St. Joseph,2021,5,24257,24223,0
St. Joseph,2021,6,24258,24223,0
St. Joseph,2021,7,24259,24223,0
St. Joseph,2021,8,24260,24223,0
St. Joseph,2021,9,24261,24223,0
St. Joseph,2021,10,24262,24223,0
St. Joseph,2021,11,24263,24223,0
St. Joseph,2021,12,24264,24223,0
St. Joseph,2022,1,24265,24223,0
St. Joseph,2022,2,24266,24223,0
St. Joseph,2022,3,24267,24223,0
St. Joseph,2022,4,24268,24223,0
St. Joseph,2022,5,24269,24223,0
St. Joseph,2022,6,24270,24223,0
St. Joseph,2022,7,24271,24223,0
St. Joseph,2022,8,24272,24223,0
St. Joseph,2022,9,24273,24223,0
St. Joseph,2023,10,24286,24223,0
St. Joseph,2023,11,24287,24223,0
St. Joseph,2023,12,24288,24223,0
St. Joseph,2024,1,24289,24223,0
St. Joseph,2024,2,24290,24223,0
St. Joseph,2024,3,24291,24223,0
St. Joseph,2024,4,24292,24223,0
St. Joseph,2024,5,24293,24223,0
St. Joseph,2024,6,24294,24223,0
St. Joseph,2024,7,24295,24223,0
St. Joseph,2024,8,24296,24223,0
St. Joseph,2024,9,24297,24223,0
Tuscola,2016,10,24202,24223,0
Tuscola,2016,11,24203,24223,0
Tuscola,2016,12,24204,24223,0
Tuscola,2017,1,24205,24223,0
Tuscola,2017,2,24206,24223,0
Tuscola,2017,3,24207,24223,0
Tuscola,2017,4,24208,24223,0
Tuscola,2017,5,24209,24223,0
Tuscola,2017,6,24210,24223,0
Tuscola,2017,7,24211,24223,0
Tuscola,2017,8,24212,24223,0
Tuscola,2017,9,24213,24223,0
Tuscola,2017,10,24214,24223,0
Tuscola,2017,11,24215,24223,0
Tuscola,2017,12,24216,24223,0
Tuscola,2018,1,24217,24223,0
Tuscola,2018,2,24218,24223,0
Tuscola,2018,3,24219,24223,0
Tuscola,2018,4,24220,24223,0
Tuscola,2018,5,24221,24223,0
Tuscola,2018,6,24222,24223,0
Tuscola,2018,7,24223,24223,1
Tuscola,2018,8,24224,24223,1
Tuscola,2018,9,24225,24223,1
Tuscola,2018,10,24226,24223,1
Tuscola,2018,11,24227,24223,1
Tuscola,2018,12,24228,24223,1
Tuscola,2019,1,24229,24223,0
Tuscola,2019,2,24230,24223,0
Tuscola,2019,3,24231,24223,0
Tuscola,2019,4,24232,24223,0
Tuscola,2019,5,24233,24223,0
Tuscola,2019,6,24234,24223,0
Tuscola,2019,7,24235,24223,0
Tuscola,2019,8,24236,24223,0
Tuscola,2019,9,24237,24223,0
Tuscola,2019,10,24238,24223,0
Tuscola,2019,11,24239,24223,0
Tuscola,2019,12,24240,24223,0
Tuscola,2020,1,24241,24223,0
Tuscola,2020,2,24242,24223,0
Tuscola,2020,3,24243,24223,0
Tuscola,2020,4,24244,24223,0
Tuscola,2020,5,24245,24223,0
Tuscola,2020,6,24246,24223,0
Tuscola,2020,7,24247,24223,0
Tuscola,2020,8,24248,24223,0
Tuscola,2020,9,24249,24223,0
Tuscola,2020,10,24250,24223,0
Tuscola,2020,11,24251,24223,0
Tuscola,2020,12,24252,24223,0
Tuscola,2021,1,24253,24223,0
Tuscola,2021,2,24254,24223,0
Tuscola,2021,3,24255,24223,0
Tuscola,2021,4,24256,24223,0
Tuscola,2021,5,24257,24223,0
Tuscola,2021,6,24258,24223,0
Tuscola,2021,7,24259,24223,0
Tuscola,2021,8,24260,24223,0
Tuscola,2021,9,24261,24223,0
Tuscola,2021,10,24262,24223,0
Tuscola,2021,11,24263,24223,0
Tuscola,2021,12,24264,24223,0
Tuscola,2022,1,24265,24223,0
Tuscola,2022,2,24266,24223,0
Tuscola,2022,3,24267,24223,0
Tuscola,2022,4,24268,24223,0
Tuscola,2022,5,24269,24223,0
Tuscola,2022,6,24270,24223,0
Tuscola,2022,7,24271,24223,0
Tuscola,2022,8,24272,24223,0
Tuscola,2022,9,24273,24223,0
Tuscola,2023,10,24286,24223,0
Tuscola,2023,11,24287,24223,0
Tuscola,2023,12,24288,24223,0
Tuscola,2024,1,24289,24223,0
Tuscola,2024,2,24290,24223,0
Tuscola,2024,3,24291,24223,0
Tuscola,2024,4,24292,24223,0
Tuscola,2024,5,24293,24223,0
Tuscola,2024,6,24294,24223,0
Tuscola,2024,7,24295,24223,0
Tuscola,2024,8,24296,24223,0
Tuscola,2024,9,24297,24223,0
Van Buren,2016,10,24202,24223,0
Van Buren,2016,11,24203,24223,0
Van Buren,2016,12,24204,24223,0
Van Buren,2017,1,24205,24223,0
Van Buren,2017,2,24206,24223,0
Van Buren,2017,3,24207,24223,0
Van Buren,2017,4,24208,24223,0
Van Buren,2017,5,24209,24223,0
Van Buren,2017,6,24210,24223,0
Van Buren,2017,7,24211,24223,0
Van Buren,2017,8,24212,24223,0
Van Buren,2017,9,24213,24223,0
Van Buren,2017,10,24214,24223,0
Van Buren,2017,11,24215,24223,0
Van Buren,2017,12,24216,24223,0
Van Buren,2018,1,24217,24223,0
Van Buren,2018,2,24218,24223,0
Van Buren,2018,3,24219,24223,0
Van Buren,2018,4,24220,24223,0
Van Buren,2018,5,24221,24223,0
Van Buren,2018,6,24222,24223,0
Van Buren,2018,7,24223,24223,1
Van Buren,2018,8,24224,24223,1
Van Buren,2018,9,24225,24223,1
Van Buren,2018,10,24226,24223,1
Van Buren,2018,11,24227,24223,1
Van Buren,2018,12,24228,24223,1
Van Buren,2019,1,24229,24223,0
Van Buren,2019,2,24230,24223,0
Van Buren,2019,3,24231,24223,0
Van Buren,2019,4,24232,24223,0
Van Buren,2019,5,24233,24223,0
Van Buren,2019,6,24234,24223,0
Van Buren,2019,7,24235,24223,0
Van Buren,2019,8,24236,24223,0
Van Buren,2019,9,24237,24223,0
Van Buren,2019,10,24238,24223,0
Van Buren,2019,11,24239,24223,0
Van Buren,2019,12,24240,24223,0
Van Buren,2020,1,24241,24223,0
Van Buren,2020,2,24242,24223,0
Van Buren,2020,3,24243,24223,0
Van Buren,2020,4,24244,24223,0
Van Buren,2020,5,24245,24223,0
Van Buren,2020,6,24246,24223,0
Van Buren,2020,7,24247,24223,0
Van Buren,2020,8,24248,24223,0
Van Buren,2020,9,24249,24223,0
Van Buren,2020,10,24250,24223,0
Van Buren,2020,11,24251,24223,0
Van Buren,2020,12,24252,24223,0
Van Buren,2021,1,24253,24223,0
Van Buren,2021,2,24254,24223,0
